Timestamp,Chat ID,Chat Name,Topic,Source Type,Source Name,Source URL Or File,Finding Summary,Why It Matters,Related Module,Recommended Action,Verification Level,Notes
2026-07-03 13:40 America/Los_Angeles,RF-C00,Coordinator Chat,Research log setup,Repo planning,Coordinator,N/A,Created shared tracker for useful research findings,Scanner and worker chats can save useful findings for other chats,All,Use this CSV for short research summaries,Repo write verified,Keep entries short and factual
2026-07-03 21:10 America/Los_Angeles,RF-C00,Coordinator Chat,External command screen telemetry,Uploaded ZIP inspection,RedFox_CommandScreen_Portable_v0_12.zip,/mnt/data/RedFox_CommandScreen_Portable_v0_12.zip,Portable Electron app has plugin system and future hooks note for BeamNG telemetry OBS status and command messages,This can become an external recording dashboard paired with an in-game bridge,Command Screen and Garage Hub,Use a small RedFox telemetry bridge mod plus local Electron plugin; start one-way read-only telemetry before any control commands,Static ZIP inspection only,App already reads OS stats/weather/plugins; no BeamNG bridge/server present yet
2026-07-06 19:52 America/Los_Angeles,RF-MOD43,Project 43 RedFox Unicycle Weapons / Player Movement Chat,BeamNG player movement controller,Uploaded scan + prior ZIP inspection,RedFox_PlayerMovement_BeamNG_Scan_20260706_114408.zip and Project 43 v2.4.4,/mnt/data/RedFox_PlayerMovement_BeamNG_Scan_20260706_114408.zip,The real walking speed control is inside the unicycle/player playerController.lua path rather than the earlier assist layer; guarded playerController override produced a clear speed difference,Movement lab must control playerController values directly before inventory/weapons return,Project 43 RedFox Unicycle Weapons / Player Movement,Next build should add idle braking/counter torque/anti-roll to stop coasting like a ball,David in-game partial test + static scan notes,Do not restore gameplay/walk.lua unless explicitly approved because earlier exit crash risk pointed there
2026-07-06 19:52 America/Los_Angeles,RF-MOD43,Project 43 RedFox Unicycle Weapons / Player Movement Chat,BeamNG Hub scan failure,User-provided error context,Garage Hub modulesHub.lua line 276 msg nil,Repo message from David,Hub rollback loads in Career but Scan crashes because scanRedFoxModules calls global msg() when nil,Hub scanner must be fixed before dummy module discovery retest can continue,Garage Hub,RF-HUB01 should define guard or replace msg() in scanRedFoxModules then retest with RF-UILOAD01_Discoverable_Dummy_v0_1_2.zip,User-provided runtime error,Keep gameplay out of Hub; this is separate from Project 43 movement work
2026-07-06 19:52 America/Los_Angeles,RF-RACE01,Project 37 RaceBuilder Chat,RaceBuilder catalog and AI path references,Uploaded ZIP inspection + web research,Project37_RaceBuilder_Catalog_Taxonomy_AI_Research_2026_07_01.xlsx and reference zips,/mnt/data/Project37_RaceBuilder_Catalog_Taxonomy_AI_Research_2026_07_01.xlsx,Best references found were IROK race mission schema, SceneManager spawning/restore patterns, ImpromptuRaceMod route sampling, Realistic Drivers AI personality behavior, and orenong line editor workflow for visual AI line editing,RedFox RaceBuilder should organize and simplify existing BeamNG race/path/vehicle group ideas instead of reinventing everything,Project 37 RaceBuilder,Build catalog core first; then trailer figure-8 rules; then AI spawn/path experiments after catalog passes,Static research and planning only,Do not copy compiled external app code; use workflow and schema concepts only
2026-07-06 19:55 America/Los_Angeles,RF-CMD01,Command Screen Chat,BeamNG external bridge direction,Uploaded scans + Command Screen builds,BeamNG_ModOpportunity_Scan_20260706.md and CommandScreen v0.16.x work,/mnt/data/BeamNG_ModOpportunity_Scan_20260706.md,Command Screen can catalog BeamNG widgets/apps but cannot display live game data without a proven BeamNG-to-Electron bridge; v0.16.7 bridge is scaffold only,This prevents false claims and sets the next priority as bridge proof before large catalog expansion,Command Screen,Build v0.16.8 Bridge Proof / App Registry with debug log and one simple live value before deeper damage/tire/race data,Static planning + uploaded scan; no in-game proof yet,Do not fake data; mark catalog entries Working/Bridge Required/Detected Only/Placeholder/Unsupported/Needs Adapter
2026-07-06 19:55 America/Los_Angeles,RF-DOC01,Codex Local Research Chat,CommandScreen BeamNG UI bridge,Local BeamNG scan + official docs,CommandScreen_BeamNG_UI_Link_Scan_20260706,D:\RedFoxMods\scan_packages\CommandScreen_BeamNG_UI_Link_Scan_20260706.zip,"Local package scanned CommandScreen v0.16.5 ZIP and BeamNG UI/Lua systems: 106 classic apps; 2183 Lua files; 1524 UI data producers; 740 UI bridge calls. Clean path is RedFox bridge sending live data to CommandScreen native widgets, not dragging BeamNG UI DOM into Electron.","Gives CommandScreen a practical local evidence package for second-screen telemetry and widget catalog planning.",CommandScreen / Garage Hub / BeamNG bridge,"Use bridge-proof first: BeamNG Link Monitor plus speed RPM gear tire-brake and damage widgets before full catalog expansion.",Static research package only,No mod files edited. Runtime not tested.
2026-07-06 19:55 America/Los_Angeles,RF-DOC01,Codex Local Research Chat,BeamNG mod opportunity scan,Local BeamNG scan + online repository/forum signals,BeamNG_Mod_Opportunity_Scan_20260706,D:\RedFoxMods\scan_packages\BeamNG_Mod_Opportunity_Scan_20260706.zip,"Created 75 concrete RedFox mod opportunities from local scans: 589 flowgraph nodes; 106 UI apps; 26 mission types; 6389 gameplay files indexed; keyword samples across race damage recovery markers editor materials weather career traffic camera sound spawner and telemetry.","Gives David and worker chats a larger Patreon/release backlog instead of focusing only on the current flagship mods.",All RedFox planning / Patreon roadmap,"Start with a small Creator and Driver Utility Pack: tire-brake dash; better damage mini UI; surface detector; route stopwatch; weather-time director; vehicle favorites catalog; camera-replay markers. Keep RaceBuilder Lite Surface Studio and CommandScreen Bridge as flagship tracks.",Static research package only,No mod files edited. Runtime not tested.
2026-08-09 23:08 America/Los_Angeles,RF-DOC01,Codex Local Research Chat,BeamNG v0.39 RedFox recovery scan,Local BeamNG scan + official BeamNG v0.39 notes,BEAMNG_V039_REDFOX_RECOVERY_REPORT_2026-08-09,RESEARCH_REPORTS/BEAMNG_V039_REDFOX_RECOVERY_REPORT_2026-08-09.md,"BeamNG is now 0.39.4.0 build 20972; v0.39 adds official Vue UI mods under /ui/ui-vue/mods. Current user db still marks 16 RedFox entries active from missing rf current mods temp-------- paths. Latest log shows redfoxCareerWeb.js 404, Project 43 core_redfoxPlayerMovementLab fatal, many missing RedFox input actions, Hub manifest jsonReadFile failures, and RLS 2.7.0 overriding phone layout with legacy ui/modModules.","This gives every worker chat the same v0.39 recovery map and prevents another broad Tow/FoxNet or global UI merge.",All RedFox BeamNG mods,"Back up user db/mod_manifests/inputmaps/settings first; create a clean test lane; reinstall one version of each RedFox mod at a time; use a small /ui/ui-vue/mods/redfoxCareerWeb adapter for web; do not patch ui/ui-vue/dist/index.js.",static_checked; awaiting_user_test,"No mod files edited. Runtime not tested by David yet. Incident report also created for the failed Tow/FoxNet merged bridge attempt."
2026-08-09 23:16 America/Los_Angeles,RF-DOC01,Codex Local Research Chat,BeamNG v0.39 clean test lane,Local BeamNG folder verification + active ZIP inspection,BEAMNG_V039_CLEAN_TEST_LANE_STATUS_2026-08-09,RESEARCH_REPORTS/BEAMNG_V039_CLEAN_TEST_LANE_STATUS_2026-08-09.md,"A clean test lane is now prepared: old active mods moved to D:\RedFoxMods\backups\beamng_v039_active_mods_hold_20260809_230822, stale user db/mod_manifests/ModConflictResolutions moved to quarantine, and only GarageHub v0.5.11 plus RaceBuilder v0.4.16.5 are active. Both active ZIPs contain their expected action JSONs and RaceBuilder contains the Hub module manifest.","This gives David and worker chats a controlled first runtime test after BeamNG v0.39 instead of retesting with stale cache and many conflicting mods active.",GarageHub / Project 37 RaceBuilder / all RedFox recovery,"David should launch BeamNG, test only Hub Scan plus RaceBuilder open/basic race flow, then send the new beamng.log. If missing action spam persists, use a backed-up clean-lane keyboard.diff filter before adding any more mods.",static_checked; zip_integrity_checked; awaiting_user_test,"No mod code edited. Active status is not runtime verified until David tests in BeamNG."
